recorded_at,fixture_id,policy_version,arm,budget,gross_recovered,net_recovered,recovery_rate,wasted_spend,chase_precision,contacts_per_rupee_recovered,cost_per_rupee_recovered,p95_decision_latency_ms,policy_violations,items_chased,items_suppressed,note
2026-09-04T17:06:22+00:00,fx-20260905-1000,policy-v1,B0,2500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0,0,1000,"first full run, deterministic arms only"
2026-09-04T17:06:22+00:00,fx-20260905-1000,policy-v1,B1,2500.0,174082.01,171583.01,0.2232,2142.0,0.5822,0.0,0.014355,0.004,0,833,167,"first full run, deterministic arms only"
2026-09-04T17:06:22+00:00,fx-20260905-1000,policy-v1,B2,2500.0,461983.45,459575.95,0.5923,1479.75,0.6151,0.000351,0.005211,0.011,0,951,49,"first full run, deterministic arms only"
2026-09-04T17:06:22+00:00,fx-20260905-1000,policy-v1,B3*,2500.0,526923.61,524423.81,0.6756,1287.7,0.6418,0.000235,0.004744,0.189,0,737,263,"first full run, deterministic arms only"
2026-09-05T07:18:15+00:00,fx-20260905-1000,policy-v2,B0,2500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0,0,1000,"policy-v2 lambda-priced allocator, real benchmark"
2026-09-05T07:18:15+00:00,fx-20260905-1000,policy-v2,B1,2500.0,224292.52,221792.52,0.2876,2127.5,0.586,0.0,0.011146,0.007,0,1000,0,"policy-v2 lambda-priced allocator, real benchmark"
2026-09-05T07:18:15+00:00,fx-20260905-1000,policy-v2,B2,2500.0,461983.45,459970.45,0.5923,1238.25,0.6151,0.000351,0.004357,0.044,0,951,49,"policy-v2 lambda-priced allocator, real benchmark"
2026-09-05T07:18:15+00:00,fx-20260905-1000,policy-v2,B3*,2500.0,560165.28,557742.27,0.7182,1397.39,0.6092,0.000271,0.004326,0.492,0,952,48,"policy-v2 lambda-priced allocator, real benchmark"
2026-09-05T07:18:16+00:00,fx-20260906-1000,policy-v2,B0,2500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0,0,1000,"policy-v2 lambda-priced allocator, real benchmark"
2026-09-05T07:18:16+00:00,fx-20260906-1000,policy-v2,B1,2500.0,159351.45,156851.45,0.2116,2155.0,0.56,0.0,0.015689,0.009,0,1000,0,"policy-v2 lambda-priced allocator, real benchmark"
2026-09-05T07:18:16+00:00,fx-20260906-1000,policy-v2,B2,2500.0,385339.21,383342.21,0.5117,1275.75,0.5884,0.000436,0.005182,0.033,0,950,50,"policy-v2 lambda-priced allocator, real benchmark"
2026-09-05T07:18:16+00:00,fx-20260906-1000,policy-v2,B3*,2500.0,513965.19,511640.55,0.6825,1260.2,0.5867,0.000348,0.004523,0.5,0,934,66,"policy-v2 lambda-priced allocator, real benchmark"
2026-09-05T07:18:16+00:00,fx-20260907-1000,policy-v2,B0,2500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0,0,1000,"policy-v2 lambda-priced allocator, real benchmark"
2026-09-05T07:18:16+00:00,fx-20260907-1000,policy-v2,B1,2500.0,188819.08,186319.08,0.2596,2157.5,0.57,0.0,0.01324,0.006,0,1000,0,"policy-v2 lambda-priced allocator, real benchmark"
2026-09-05T07:18:16+00:00,fx-20260907-1000,policy-v2,B2,2500.0,442341.01,440356.51,0.6082,1216.0,0.5912,0.000402,0.004486,0.028,0,954,46,"policy-v2 lambda-priced allocator, real benchmark"
